,SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating,point,median_kSEK,residual
243,53259263,13.325,11.4,11.575,,12.1,Enskild,Solna,"Ingridskolan, grundskola",Hjortstigen 1,17071,Solna,http://www.ingridskolan.se,N,18.0315225,59.3824696,4.0,POINT (18.0315225 59.3824696),333.3636363636364,-1.2353463576910872
244,53319802,13.5125,9.8,13.125,,12.145833333333334,Kommunal,Österåker,Ljusterö skola,Mellansjövägen 60 A,18495,Ljusterö,http://www.osteraker.se,J,18.6231723,59.5262115,3.3,POINT (18.6231723 59.5262115),272.5,0.26471497314864045
245,53426548,11.425,9.4,,9.516666666666666,10.113888888888887,Kommunal,Botkyrka,Brunnaskolan,Hummlevägen 2,14567,Norsborg,http://www.botkyrka.se/brunnaskolan,J,17.8373962,59.2489629,4.0,POINT (17.8373962 59.2489629),232.70714285714283,-0.8164501486116151
246,54806839,14.716666666666669,10.5,12.683333333333332,,12.633333333333333,Enskild,Norrtälje,Viby friskola,Lillskogsvägen 2,76231,Rimbo,http://www.vibyfriskola.se,J,18.3562771,59.7422534,5.0,POINT (18.3562771 59.7422534),269.9666666666667,0.8127444531543802
247,54847211,15.875,9.4,13.883333333333333,,13.052777777777775,Enskild,Stockholm,Entréskolan Stockholm,Lövholmsvägen 61,11765,Stockholm,http://www.entreskolan.se,N,18.0122759,59.31315749999999,2.7,POINT (18.0122759 59.31315749999999),379.28846153846155,-1.3798603380133692
248,55382103,16.5,14.1,14.9,,15.166666666666666,Kommunal,Stockholm,Björngårdsskolan,Maria Prästgårdsgata 9,11852,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/bjorngardsskolan-f-6/,J,18.0647493,59.3161807,3.8,POINT (18.0647493 59.3161807),363.4522727272728,1.1124060274600023
249,55508705,15.191666666666668,12.133333333333333,14.333333333333334,,13.886111111111113,Enskild,Sigtuna,"Josefinaskolan, grundskola",Rävsta gård,19592,Märsta,http://www.josefinaskolan.se,J,17.7829719,59.6273715,3.3,POINT (17.7829719 59.6273715),360.62,-0.10047742464175968
250,56299553,14.141666666666667,13.166666666666666,14.175,12.075,13.389583333333334,Kommunal,Upplands-Bro,Bergaskolan,Gamla Landsvägen 16,19630,Kungsängen,http://www.upplands-bro.se/barn-och-utbildning/barn-och-unga-6-16-ar/kommunala-skolor/bergaskolan.html,J,17.7557947,59.4817405,3.0,POINT (17.7557947 59.4817405),315.44,0.48249028705130037
251,56417100,11.375,8.6,,8.466666666666667,9.480555555555556,Kommunal,Botkyrka,Kvarnhagsskolan,Servitutsvägen 17,14559,Norsborg,http://www.botkyrka.se/kvarnhagsskolan,J,17.8470884,59.2351481,2.9,POINT (17.8470884 59.2351481),236.44,-1.538973443178973
252,56501561,16.658333333333335,14.9,15.55,,15.702777777777778,Kommunal,Stockholm,Essingeskolan,Essingestråket 24,11266,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/essingeskolan-f-6/,J,17.9865448,59.3209238,,POINT (17.9865448 59.3209238),402.18749999999994,0.7230079946017298
253,56568612,12.316666666666668,9.966666666666669,13.225,9.925,11.358333333333333,Kommunal,Södertälje,Wasaskolan,Prosten Linders väg 2,15145,Södertälje,http://www.sodertalje.se/wasaskolan,J,17.5808969,59.1936851,4.0,POINT (17.5808969 59.1936851),225.475,0.6007934457552384
254,56858061,13.575,10.5,12.241666666666667,,12.105555555555556,Enskild,Salem,Söderby friskola,Söderbyvägen 25,14444,Rönninge,http://www.soderbyfriskola.se,J,17.7765631,59.19736039999999,3.3,POINT (17.7765631 59.19736039999999),347.13,-1.5587134991667373
255,56867397,16.683333333333334,15.466666666666669,15.85,,16.0,Enskild,Sollentuna,Silverbäcken Dibber,Silverbäcksvägen 1,19138,Sollentuna,http://www.dibber.se,J,17.9869335,59.40031330000001,3.8,POINT (17.9869335 59.40031330000001),449.57142857142856,-0.11192421359361404
256,56949296,14.550000000000002,10.1,12.366666666666664,,12.33888888888889,Kommunal,Stockholm,Blackebergsskolan,Björnsonsgatan 132,16844,Bromma,https://grundskola.stockholm/hitta-grundskola/grundskola/blackebergsskolan-f-6/,J,17.879725,59.34798319999999,3.5,POINT (17.879725 59.34798319999999),333.15000000000003,-0.9913530090648699
257,57106833,17.725,17.0,18.9,,17.875,Enskild,Danderyd,Vendestigens skola,Vendevägen 30 A,18262,Djursholm,http://www.vendestigen.se,J,18.0760189,59.39952159999999,2.3,POINT (18.0760189 59.39952159999999),388.7166666666667,3.2170917445518548
258,57184925,14.166666666666666,7.8,11.575,,11.180555555555555,Kommunal,Stockholm,Hökarängsskolan,Fagersjövägen 18,12358,Farsta,https://grundskola.stockholm/hitta-grundskola/grundskola/hokarangsskolan-f-9/,J,18.0760919,59.25581030000001,3.1,POINT (18.0760919 59.25581030000001),297.15714285714284,-1.2897012397226266
259,57206066,14.508333333333336,13.966666666666669,13.558333333333332,,14.011111111111113,Kommunal,Täby,Vallatorpsskolan,Klövervallsvägen 81,18752,Täby,http://www.taby.se/vallatorpsskolan,J,18.0417914,59.46837600000001,3.7,POINT (18.0417914 59.46837600000001),433.95000000000005,-1.7275669386500976
260,57228484,10.741666666666664,7.1000000000000005,,9.258333333333333,9.033333333333331,Kommunal,Botkyrka,Grindtorpsskolan,Lagmansbacken 12,14556,Norsborg,http://www.botkyrka.se/grindtorpsskolan,J,17.8441866,59.24099990000001,,POINT (17.8441866 59.24099990000001),231.21428571428572,-1.8613365463066458
261,57317316,15.3,12.05,13.25,,13.533333333333331,Enskild,Stockholm,JENSEN grundskola Långholmen,Alstaviksvägen 21,11733,Stockholm,https://www.jensengrundskola.se/langholmen,N,18.0265246,59.3221988,3.4,POINT (18.0265246 59.3221988),389.2037037037037,-1.1362118031393074
262,57368693,16.433333333333334,13.933333333333332,14.608333333333334,,14.991666666666667,Kommunal,Nacka,Sickla skola,Gillevägen 5,13133,Nacka,http://www.sickla.nacka.se,J,18.1295112,59.30376709999999,3.6,POINT (18.1295112 59.30376709999999),392.7615384615385,0.23711341657372564
263,57370453,13.716666666666669,12.0,12.825,,12.847222222222223,Kommunal,Vallentuna,Karbyskolan,Vadavägen 1,18670,Brottby,http://www.vallentuna.se/karby,J,18.2205672,59.561454,3.0,POINT (18.2205672 59.561454),335.6333333333333,-0.5423544949476913
264,58102266,15.483333333333334,10.9,13.980555555555554,10.1,12.615972222222222,Enskild,Sollentuna,Vittra Sollentuna,Sollentuna väg 189,19135,Sollentuna,http://www.vittra.se/sollentuna,J,17.9481995,59.4326573,3.3,POINT (17.9481995 59.4326573),351.65999999999997,-1.156533100036654
